id;type;width;height;nkernels;kwidth;kheight;hstride;vstride
1;input;224;224;3;;;;
2;conv;112;112;32;3;3;2;2
3;conv;112;112;32;3;3;1;1
4;conv;112;112;64;3;3;1;1
5;mpool;56;56;64;3;3;2;2
6;conv;56;56;80;1;1;1;1
7;conv;56;56;192;3;3;1;1
8;mpool;28;28;192;3;3;2;2
9;conv;28;28;64;1;1;1;1
10;conv;28;28;48;1;1;1;1
11;conv;28;28;64;5;5;1;1
12;conv;28;28;64;1;1;1;1
13;conv;28;28;96;3;3;1;1
14;conv;28;28;96;3;3;1;1
15;apool;28;28;96;3;3;1;1
16;conv;28;28;32;1;1;1;1
17;conv;28;28;64;1;1;1;1
18;conv;28;28;48;1;1;1;1
19;conv;28;28;64;5;5;1;1
20;conv;28;28;64;1;1;1;1
21;conv;28;28;96;3;3;1;1
22;conv;28;28;96;3;3;1;1
23;apool;28;28;96;3;3;1;1
24;conv;28;28;64;1;1;1;1
25;conv;28;28;64;1;1;1;1
26;conv;28;28;48;1;1;1;1
27;conv;28;28;64;5;5;1;1
28;conv;28;28;64;1;1;1;1
29;conv;28;28;96;3;3;1;1
30;conv;28;28;96;3;3;1;1
31;apool;28;28;96;3;3;1;1
32;conv;28;28;64;1;1;1;1
33;conv;14;14;384;3;3;2;2
34;conv;14;14;64;1;1;1;1
35;conv;14;14;96;3;3;1;1
36;conv;7;7;96;3;3;2;2
37;mpool;3;3;96;3;3;2;2
38;conv;3;3;192;1;1;1;1
39;conv;3;3;128;1;1;1;1
40;conv;3;3;128;1;7;1;1
41;conv;3;3;192;7;1;1;1
42;conv;3;3;128;1;1;1;1
43;conv;3;3;128;7;1;1;1
44;conv;3;3;128;1;7;1;1
45;conv;3;3;128;7;1;1;1
46;conv;3;3;192;1;7;1;1
47;apool;3;3;192;3;3;1;1
48;conv;3;3;192;1;1;1;1
49;conv;3;3;192;1;1;1;1
50;conv;3;3;160;1;1;1;1
51;conv;3;3;160;1;7;1;1
52;conv;3;3;192;7;1;1;1
53;conv;3;3;160;1;1;1;1
54;conv;3;3;160;7;1;1;1
55;conv;3;3;160;1;7;1;1
56;conv;3;3;160;7;1;1;1
57;conv;3;3;192;1;7;1;1
58;apool;3;3;192;3;3;1;1
59;conv;3;3;192;1;1;1;1
60;conv;3;3;192;1;1;1;1
61;conv;3;3;160;1;1;1;1
62;conv;3;3;160;1;7;1;1
63;conv;3;3;192;7;1;1;1
64;conv;3;3;160;1;1;1;1
65;conv;3;3;160;7;1;1;1
66;conv;3;3;160;1;7;1;1
67;conv;3;3;160;7;1;1;1
68;conv;3;3;192;1;7;1;1
69;apool;3;3;192;3;3;1;1
70;conv;3;3;192;1;1;1;1
71;conv;3;3;192;1;1;1;1
72;conv;3;3;192;1;1;1;1
73;conv;3;3;192;1;7;1;1
74;conv;3;3;192;7;1;1;1
75;conv;3;3;192;1;1;1;1
76;conv;3;3;192;7;1;1;1
77;conv;3;3;192;1;7;1;1
78;conv;3;3;192;7;1;1;1
79;conv;3;3;192;1;7;1;1
80;apool;3;3;192;3;3;1;1
81;conv;3;3;192;1;1;1;1
82;conv;3;3;192;1;1;1;1
83;conv;2;2;320;3;3;2;2
84;conv;2;2;192;1;1;1;1
85;conv;2;2;192;1;7;1;1
86;conv;2;2;192;7;1;1;1
87;conv;1;1;192;3;3;2;2
88;mpool;1;1;192;3;3;2;2
89;conv;1;1;320;1;1;1;1
90;conv;1;1;384;1;1;1;1
91;conv;1;1;384;1;3;1;1
92;conv;1;1;384;3;1;1;1
93;conv;1;1;448;1;1;1;1
94;conv;1;1;384;3;3;1;1
95;conv;1;1;384;1;3;1;1
96;conv;1;1;384;3;1;1;1
97;apool;1;1;384;3;3;1;1
98;conv;1;1;192;1;1;1;1
99;conv;1;1;320;1;1;1;1
100;conv;1;1;384;1;1;1;1
101;conv;1;1;384;1;3;1;1
102;conv;1;1;384;3;1;1;1
103;conv;1;1;448;1;1;1;1
104;conv;1;1;384;3;3;1;1
105;conv;1;1;384;1;3;1;1
106;conv;1;1;384;3;1;1;1
107;mpool;1;1;384;3;3;1;1
108;conv;1;1;192;1;1;1;1
109;apool;1;1;192;8;8;1;1
110;fc;1;1;1001;1;;;
