id;type;width;height;nkernels;kwidth;kheight;hstride;vstride
1;input;224;224;3;;;;
2;conv;112;224;64;7;7;2;2
3;mpool;56;224;64;3;3;2;2
4;conv;56;112;256;1;1;1;1
5;conv;56;112;64;1;1;1;1
6;conv;56;112;64;3;3;1;1
7;conv;56;112;256;1;1;1;1
8;conv;56;112;64;1;1;1;1
9;conv;56;112;64;3;3;1;1
10;conv;56;112;256;1;1;1;1
11;conv;56;112;64;1;1;1;1
12;conv;56;112;64;3;3;1;1
13;conv;56;112;256;1;1;1;1
14;conv;28;56;512;1;1;2;2
15;conv;28;56;128;1;1;2;2
16;conv;28;56;128;3;3;1;1
17;conv;28;56;512;1;1;1;1
18;conv;28;56;128;1;1;1;1
19;conv;28;56;128;3;3;1;1
20;conv;28;56;512;1;1;1;1
21;conv;28;56;128;1;1;1;1
22;conv;28;56;128;3;3;1;1
23;conv;28;56;512;1;1;1;1
24;conv;28;56;128;1;1;1;1
25;conv;28;56;128;3;3;1;1
26;conv;28;56;512;1;1;1;1
27;conv;14;28;1024;1;1;2;2
28;conv;14;28;256;1;1;2;2
29;conv;14;28;256;3;3;1;1
30;conv;14;28;1024;1;1;1;1
31;conv;14;28;256;1;1;1;1
32;conv;14;28;256;3;3;1;1
33;conv;14;28;1024;1;1;1;1
34;conv;14;28;256;1;1;1;1
35;conv;14;28;256;3;3;1;1
36;conv;14;28;1024;1;1;1;1
37;conv;14;28;256;1;1;1;1
38;conv;14;28;256;3;3;1;1
39;conv;14;28;1024;1;1;1;1
40;conv;14;28;256;1;1;1;1
41;conv;14;28;256;3;3;1;1
42;conv;14;28;1024;1;1;1;1
43;conv;14;28;256;1;1;1;1
44;conv;14;28;256;3;3;1;1
45;conv;14;28;1024;1;1;1;1
46;conv;7;14;2048;1;1;2;2
47;conv;7;14;512;1;1;2;2
48;conv;7;14;512;3;3;1;1
49;conv;7;14;2048;1;1;1;1
50;conv;7;14;512;1;1;1;1
51;conv;7;14;512;3;3;1;1
52;conv;7;14;2048;1;1;1;1
53;conv;7;14;512;1;1;1;1
54;conv;7;14;512;3;3;1;1
55;conv;7;14;2048;1;1;1;1
56;fc;1;1;1001;1;;;
